"priorite","id","domaine","argent","variables","francais_actuel","FRANCAIS_IVOIRIEN","PROPOSE_DOCX","SOURCE_DOCX","ALERTE"
"7","WALLET_004","wallet","oui","","Solde masqué","","","",""
"7","WALLET_005","wallet","oui","","Solde affiché","","","",""
"7","WALLET_008","wallet","oui","montant","Retrait de {montant} francs CFA en cours. Confirme sur ton téléphone.","","","",""
"7","WALLET_001","wallet","","name","Demande envoyée. Confirme sur ton téléphone {name}","","","",""
"7","WALLET_002","wallet","","name","{name} sélectionné","","","",""
"7","WALLET_006","wallet","","","Mon argent fermé","","","",""
"7","WALLET_007","wallet","","","Mon argent ouvert","","","",""
"8","COOP_001","cooperative","oui","","C'est fait ! La commande est clôturée et payée.","","","",""
"8","COOP_006","cooperative","oui","soldeActuel","Trésorerie actuelle : {soldeActuel} francs.","","","",""
"8","COOP_014","cooperative","oui","sortie montant","Transaction {sortie} de {montant} francs CFA enregistrée","","","",""
"8","PROD_002","producteur","oui","","Paiement encaissé ! L'argent est dans ton Keiwa.","","","",""
"8","PROD_003","producteur","oui","acheteurId","Commande de {acheteurId} acceptée. Le marchand va maintenant payer.","","","",""
"8","PROD_004","producteur","oui","nouveauPrix","Contre-proposition de {nouveauPrix} FCFA envoyée au marchand.","","","",""
"8","PROD_023","producteur","oui","revenuTotal","Tu as gagné {revenuTotal} francs en tout.","","","",""
"8","COOP_002","cooperative","","","La distribution n'a pas marché. Réessaie, s'il te plaît.","","","",""
"8","COOP_003","cooperative","","","Besoin mis à jour.","","","",""
"8","COOP_004","cooperative","","newProduit","Commande groupée pour {newProduit} créée.","","","",""
"8","COOP_005","cooperative","","label","Statut mis à jour : {label}","","","",""
"8","COOP_007","cooperative","","produit","{produit} est maintenant visible par tous les marchands.","","","",""
"8","COOP_008","cooperative","","produit","Commande de {produit} envoyée.","","","",""
"8","COOP_009","cooperative","","prenom nom","{prenom} {nom} a été suspendu. Une notification a été envoyée.","","","",""
"8","COOP_010","cooperative","","prenom nom","{prenom} {nom} a été réactivé","","","",""
"8","COOP_011","cooperative","","prenom","{prenom} a été exclu définitivement de la coopérative","","","",""
"8","COOP_012","cooperative","","prenom nom","{prenom} {nom} a rejoint la coopérative","","","",""
"8","COOP_013","cooperative","","prenom nom","La demande de {prenom} {nom} a été refusée","","","",""
"8","PROD_001","producteur","","","Impossible de marquer comme livrée","","","",""
"8","PROD_005","producteur","","statut","Commande mise à jour : {statut}","","","",""
"8","PROD_006","producteur","","","Impossible de mettre à jour la commande","","","",""
"8","PROD_007","producteur","","produit","Commande de {produit} ajoutée","","","",""
"8","PROD_008","producteur","","","Impossible d'ajouter la commande","","","",""
"8","PROD_009","producteur","","acheteurId produit","Demande de {acheteurId} pour {produit}","","","",""
"8","PROD_010","producteur","","mois","{mois} mois","","","",""
"8","PROD_011","producteur","","","Choisis d'abord une culture.","","","",""
"8","PROD_012","producteur","","","Dis-moi le nom de la culture.","","","",""
"8","PROD_013","producteur","","","C'est fait ! Ta plantation est créée.","","","",""
"8","PROD_014","producteur","","","Tu dois être connectée. Vérifie ton réseau et réessaie.","","","",""
"8","PROD_015","producteur","","produit toLocaleString","{produit}, {toLocaleString} kg","","","",""
"8","PROD_016","producteur","","culture progressPercent","Détails de ta plantation de {culture}. Progression {progressPercent} pourcent.","","","",""
"8","PROD_017","producteur","","culture","Détails de ta plantation de {culture}","","","",""
"8","PROD_018","producteur","","culture","Détails de {culture}","","","",""
"8","PROD_019","producteur","","produitName","Récolte de {produitName} publiée avec succès sur le marché virtuel","","","",""
"8","PROD_020","producteur","","stockMax","La quantité ne peut pas dépasser le stock disponible de {stockMax}","","","",""
"8","PROD_021","producteur","","","Dis-moi la quantité que tu as récoltée.","","","",""
"8","PROD_022","producteur","","quantiteEnKg cultureName","C'est enregistré ! {quantiteEnKg} kilos de {cultureName}.","","","",""
"8","PROD_024","producteur","","","Tu n'as pas encore de revenu.","","","",""
"9","BO_001","backoffice","","prenom role nouveauxCount s","Bonjour {prenom}. Vous êtes connecté en tant que {role}. Il y a {nouveauxCount} ticket{s} en attente. Comment puis-je vous aider ?","","","",""
"9","BO_002","backoffice","","unreadCount","Vous avez {unreadCount} notifications non lues. {édiate}","","","",""
